SemiAutoType,SemiAutoType.折弯序号,SemiAutoType.行动类型,SemiAutoType.松开高度,SemiAutoType.折弯方向,SemiAutoType.翻板收缩值,SemiAutoType.抓取类型,SemiAutoType.折弯角度,SemiAutoType.后挡位置,SemiAutoType.回弹值,SemiAutoType.长角序号,SemiAutoType.坐标序号,SemiAutoType.重新抓取,SemiAutoType.is色下,SemiAutoType.锥度斜率,SemiAutoType.操作提示,SemiAutoType.内外选择
JSZW400.MainFrm+SemiAutoType,1,3,0,0,3,1,888,918,4,0,0,0,False,-0.0575,0,0
JSZW400.MainFrm+SemiAutoType,2,0,0,1,3,1,120,887,4,1,1,0,False,-0.05555555555555555,0,0
JSZW400.MainFrm+SemiAutoType,3,0,0,1,3,1,120,863,4,2,2,0,False,-0.05416666666666667,0,0
JSZW400.MainFrm+SemiAutoType,4,0,0,0,3,1,116,832,3,3,3,0,False,-0.052222222222222225,0,0
JSZW400.MainFrm+SemiAutoType,5,0,0,1,3,1,172,771,4,4,4,0,False,-0.04833333333333333,0,0
JSZW400.MainFrm+SemiAutoType,6,0,0,0,3,1,116,710,3,5,5,0,False,-0.044444444444444446,0,0
JSZW400.MainFrm+SemiAutoType,7,0,0,1,3,1,120,679,4,6,6,0,False,-0.0425,0,0
JSZW400.MainFrm+SemiAutoType,8,0,0,1,3,1,120,655,4,7,7,0,False,-0.04111111111111111,0,0
JSZW400.MainFrm+SemiAutoType,9,0,0,0,3,1,116,624,3,8,8,0,False,-0.03916666666666667,0,0
JSZW400.MainFrm+SemiAutoType,10,0,0,1,3,1,172,563,4,9,9,0,False,-0.035277777777777776,0,0
JSZW400.MainFrm+SemiAutoType,11,0,0,0,3,1,116,502,3,10,10,0,False,-0.03138888888888889,0,0
JSZW400.MainFrm+SemiAutoType,12,0,0,1,3,1,120,471,4,11,11,0,False,-0.029444444444444443,0,0
JSZW400.MainFrm+SemiAutoType,13,0,0,1,3,1,120,447,4,12,12,0,False,-0.028055555555555556,0,0
JSZW400.MainFrm+SemiAutoType,14,0,0,0,3,1,116,416,3,13,13,0,False,-0.026111111111111113,0,0
JSZW400.MainFrm+SemiAutoType,15,0,0,1,3,1,172,355,4,14,14,0,False,-0.022222222222222223,0,0
JSZW400.MainFrm+SemiAutoType,16,0,0,0,3,1,116,294,3,15,15,0,False,-0.018333333333333333,0,0
JSZW400.MainFrm+SemiAutoType,17,0,0,1,3,1,120,263,4,16,16,0,False,-0.01638888888888889,0,0
JSZW400.MainFrm+SemiAutoType,18,0,0,1,3,1,120,239,4,17,17,0,False,-0.015,0,0
JSZW400.MainFrm+SemiAutoType,19,0,0,0,3,1,116,208,3,18,18,0,False,-0.013055555555555556,0,0
JSZW400.MainFrm+SemiAutoType,20,0,0,1,3,1,172,147,4,19,19,0,False,-0.009166666666666667,0,0
JSZW400.MainFrm+SemiAutoType,21,0,0,0,3,1,116,86,3,20,20,0,False,-0.005277777777777778,0,0
JSZW400.MainFrm+SemiAutoType,22,0,0,1,3,1,120,55,4,21,21,0,False,-0.0033333333333333335,0,0
JSZW400.MainFrm+SemiAutoType,23,0,0,1,3,1,120,31,4,22,22,0,False,-0.0019444444444444444,0,0
